-,N1Bt,N2Bt,C2Bt,C1Bt,N3Bt,N2AB,C3Ae,C1AB,C2AB,N2Ae,N1AB,N3AB,C3AB,N1Ae,N3Ae,C2Ae,C1Ae,C2O,C1O,C3O,N1Ahe,C3Bt,N1O,N2O,N3O,N2Ahe
Basidiomycota,1.831601968,1.82441701,3.489269724,0.512820513,8.452859055,0.626304802,4.388221841,2.993697479,2.273965142,0.431758215,0.678384212,1.02622577,5.86789051,2.499664024,2.657493592,2.058866174,1.805109377,2.105449398,0.80499425,1.790830946,8.483853311,1.530293567,11.52127453,10.33785735,1.406133134,6.057610844
Glomeromycetes,0.082012028,0.288065844,0.138953219,0.061538462,0.019124116,0.132852534,0.171526587,0.236344538,0.245098039,0.19189254,0.200431699,0.128278221,0.147516801,0.443488778,0.148387967,0.086994345,0.015297537,0.035385704,0.049285362,0.125358166,0.136836344,0.109306683,0.233145522,0.08663009,0.089753179,0.14120305
Other Fungi,0.87479497,0.041152263,0.833719314,0.882051282,0.439854657,0.1708104,0.600343053,0.341386555,1.14379085,0.311825378,0.185013876,0.09977195,1.327651205,0.564440263,0.242816673,1.232419893,0.520116261,0.920028309,0.870708066,0.34025788,1.7515052,1.436602124,1.379444337,1.15506786,0.359012715,1.115504095
Annelida,0.041006014,0.178326475,0,0,0,0,0.014293882,0,0,0,0.370027752,0,0,0.040317162,0.634021314,0.072495288,0.030595074,0.053078556,0.114999179,0.304441261,0,0.01561524,0,0,0.299177263,0.02824061
Arthropoda,0,0.054869684,0.030878493,0.061538462,0,0.151831467,0.114351058,0.118172269,0.12254902,0.239865675,0.477952513,0.071265678,0.655630225,0.335976347,0.080938891,0.130491518,0.183570445,0.265392781,0.164284541,0.429799427,0.985221675,0.905683948,0.816009326,0.66416402,0.164547494,0.45184976
Nematoda,0.013668671,0.068587106,0.154392466,0,0,0.037957867,0.085763293,0.170693277,0.531045752,0.119932838,0.15417823,0.085518814,0.26225209,0.913855665,0.121408337,1.058431202,1.269695579,0.371549894,0.08214227,0.107449857,0.574712644,0.515302936,0.330289489,0.173260179,0.329094989,0.296526405
Tardigrada,0,0,0,0,0,0,0,0,1.511437908,0,0.015417823,0.014253136,0.016390756,0.094073377,0,0.492967957,0.718984244,0.265392781,0.114999179,0.143266476,0.136836344,0.078076202,0.097143967,0.129945134,0,0.070601525
OtherMetazoa,0.027337343,0.027434842,0,0,0,0.0569368,0.12864494,0.013130252,0.027233115,0.071959703,0.15417823,0.028506271,0.016390756,0,0.053959261,0.028998115,0.076487685,0.070771408,0.065713816,0.053724928,0.027367269,0.202998126,0.038857587,0.028876697,0.164547494,0.02824061
Chlorophyta,0,0.013717421,0,0,0,0,0,0,0.054466231,0.023986568,0,0,0.032781511,0.067195269,0,0.086994345,0.076487685,0.442321302,0.640709709,0.608882521,0.054734537,0.031230481,0.038857587,0.014438348,0.014958863,0
Bryophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01406272,0.509592326,0.548933501,1.697670219,0.304311074,0,0,0.24050024,0.019512195,0,0,0
Tracheophyta,0.86517664,0.029010734,0.12987013,0,0.020627063,1.177929324,0.162026808,0.217125797,0.084949738,0.203407068,0.243704305,0,0.101746651,0.179335081,0.548446069,0.809352518,21.61229611,11.0167961,6.204564666,1.008989176,0.332502078,0.288600289,0.370731707,0.569592522,0.49405589,0.475093579
Other Viridiplantae,0,0,0,0,0,0,0,0,0.013616558,0,0,0,0.016390756,0,0.013489815,0,0,0.017692852,0.016428454,0,0,0.01561524,0.019428793,0,0,0
Rhizaria,0.0956807,0.12345679,0.04631774,0.082051282,0.076496462,0.227747201,0.085763293,0.157563025,0.313180828,0.19189254,0.185013876,0.327822121,0.180298312,0.282220132,0.040469446,0.260983036,1.560348784,0.866949752,0.72285198,1.235673352,0.328407225,0.374765771,0.272003109,0.202136876,0.373971578,0.2824061
Other Eukaryota,0.177692728,0.411522634,0.061756986,0.082051282,0.114744693,0.227747201,0.228702115,0.210084034,0.517429194,0.503717918,0.107924761,0.242303307,0.295033601,0.416610671,0.323755565,0.434971727,1.177910356,3.450106157,1.922129128,1.540114613,0.383141762,0.359150531,0.427433456,0.563095582,0.47868362,0.90369952
No blast hit,0,0.013717421,0.015439247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035816619,0,0,0,0,0,0
