,N1Bt,N2Bt,C2Bt,C1Bt,N3Bt,N2AB,C3Ae,C1AB,C2AB,N2Ae,N1AB,N3AB,C3AB,N1Ae,N3Ae,C2Ae,C1Ae,C2O,C1O,C3O,N1Ahe,C3Bt,N1O,N2O,N3O,N2Ahe
Eukaryota_Fungi_Dikarya_Ascomycota,4.441240086,4.946330142,7.045454545,7.960526316,0.371287129,3.74044224,11.47444395,5.76740399,6.62607957,5.364861429,6.076360682,3.990997749,3.408512803,4.552352049,4.373505836,2.95263789,1.34880803,6.12244898,3.381234151,3.338836911,6.927126628,2.725669392,7.258536586,9.463998832,2.037980547,2.706593723
Eukaryota_Fungi_Dikarya_Basidiomycota,1.93222783,1.929213809,3.668831169,0.548245614,9.117161716,0.681959082,4.522020916,3.094042611,2.364434376,0.457665904,0.714865963,1.080270068,6.0708835,2.565871155,2.770355787,2.128297362,1.850690088,2.149178255,0.828402367,1.834525775,8.589637019,1.571268238,11.57073171,10.45713451,1.451289177,6.176216527
Eukaryota_Fungi_Glomeromycota_Glomeromycetes,0.086517664,0.304612707,0.146103896,0.065789474,0.020627063,0.144657987,0.176756518,0.244266522,0.254849214,0.203407068,0.211210398,0.135033758,0.152619976,0.455235205,0.154689917,0.089928058,0.015683814,0.036120643,0.050718512,0.128416804,0.138542533,0.112233446,0.234146341,0.087629619,0.092635479,0.143967751
Other_Fungi,0.922855083,0.043516101,0.876623377,0.942982456,0.474422442,0.185988841,0.633377522,0.352829421,1.189296333,0.406814137,0.194963444,0.105026257,1.475326437,0.606980273,0.365630713,1.273980815,0.705771644,1.065558967,0.997464074,0.476976702,1.773344417,1.491101491,1.443902439,1.212209727,0.463177397,1.252519436
Metazoa_Annelida,0.043258832,0.188569771,0,0,0,0,0.01472971,0,0,0,0.389926889,0,0,0.041385019,0.660947827,0.074940048,0.031367629,0.054180964,0.118343195,0.311869382,0,0.016033349,0,0,0.308784931,0.02879355
Metazoa_Arthropoda,0,0.058021468,0.032467532,0.065789474,0,0.165323414,0.117837679,0.122133261,0.127424607,0.254258835,0.503655565,0.075018755,0.678311006,0.344875155,0.084376318,0.134892086,0.188205772,0.270904822,0.169061708,0.440286186,0.997506234,0.929934263,0.819512195,0.671827078,0.169831712,0.460696804
Metazoa_Nematoda,0.014419611,0.072526835,0.162337662,0,0,0.041330853,0.088378259,0.17641471,0.552173297,0.127129418,0.162469537,0.090022506,0.271324402,0.938060422,0.126564478,1.0941247,1.301756587,0.379266751,0.084530854,0.110071547,0.581878637,0.529100529,0.331707317,0.175259238,0.339663424,0.302332278
Metazoa_Tardigrada,0,0,0,0,0,0,0,0,1.571570154,0,0.016246954,0.015003751,0.016957775,0.096565043,0,0.509592326,0.737139272,0.270904822,0.118343195,0.146762062,0.138542533,0.080166747,0.097560976,0.131444428,0,0.071983876
Other_Metazoa,0.028839221,0.029010734,0,0,0,0.06199628,0.132567388,0.013570362,0.028316579,0.076277651,0.162469537,0.030007502,0.016957775,0,0.056250879,0.029976019,0.078419072,0.072241286,0.067624683,0.055035773,0.027708507,0.208433542,0.03902439,0.029209873,0.169831712,0.02879355
Viridiplantae_Chlorophyta,0,0.014505367,0,0,0,0,0,0,0.056633159,0.025425884,0,0,0.03391555,0.068975031,0,0.089928058,0.078419072,0.451508037,0.659340659,0.623738764,0.055417013,0.032066699,0.03902439,0.014604936,0.015439247,0
